drugname1	drugname2	cell_line	synergy	fold	drug1_fold	drug2_fold	cell_fold
5-FU	ABT-888	A2058	8.85	2	0	1	0
5-FU	AZD1775	A2058	11.2075	1	0	2	0
5-FU	BEZ-235	A2058	3.8375	6	0	3	0
5-FU	DASATINIB	A2058	7.57	5	0	7	0
5-FU	DINACICLIB	A2058	5.715	5	0	9	0
5-FU	ERLOTINIB	A2058	11.585	2	0	1	0
5-FU	GELDANAMYCIN	A2058	6.025	0	0	3	0
5-FU	L778123	A2058	7.672499999999999	3	0	5	0
5-FU	LAPATINIB	A2058	9.6275	9	0	6	0
5-FU	MK-2206	A2058	8.74	8	0	0	0
5-FU	MK-5108	A2058	7.952499999999999	4	0	3	0
5-FU	MK-8669	A2058	10.5475	8	0	4	0
5-FU	MK-8776	A2058	5.055	0	0	5	0
5-FU	PD325901	A2058	3.7025	4	0	9	0
5-FU	SORAFENIB	A2058	14.2475	7	0	1	0
5-FU	SUNITINIB	A2058	14.155	5	0	2	0
5-FU	ZOLINZA	A2058	10.275	1	0	7	0
ABT-888	BEZ-235	A2058	11.33	3	1	3	0
ABT-888	DINACICLIB	A2058	7.5175	2	1	9	0
ABT-888	GELDANAMYCIN	A2058	13.954999999999998	6	1	3	0
ABT-888	MK-8669	A2058	9.9125	0	1	4	0
ABT-888	MK-8776	A2058	4.7075	2	1	5	0
ABT-888	OXALIPLATIN	A2058	4.5025	4	1	7	0
ABT-888	SN-38	A2058	22.42	9	1	0	0
ABT-888	SORAFENIB	A2058	36.395	2	1	1	0
AZD1775	ABT-888	A2058	8.59	5	2	1	0
AZD1775	BEZ-235	A2058	3.9975	6	2	3	0
AZD1775	DASATINIB	A2058	7.701249999999999	2	2	7	0
AZD1775	ERLOTINIB	A2058	6.6175	7	2	1	0
AZD1775	GELDANAMYCIN	A2058	7.165000000000001	6	2	3	0
AZD1775	LAPATINIB	A2058	9.515	3	2	6	0
AZD1775	MK-2206	A2058	7.694999999999999	0	2	0	0
AZD1775	MK-4827	A2058	16.075	9	2	2	0
AZD1775	MK-8669	A2058	13.9375	2	2	4	0
AZD1775	MK-8776	A2058	23.80625	3	2	5	0
AZD1775	OXALIPLATIN	A2058	6.1675	6	2	7	0
AZD1775	PD325901	A2058	6.7025	6	2	9	0
AZD1775	SN-38	A2058	9.28	9	2	0	0
AZD1775	SORAFENIB	A2058	9.925	4	2	1	0
AZD1775	TOPOTECAN	A2058	5.77	9	2	4	0
BEZ-235	DINACICLIB	A2058	5.135	9	3	9	0
BEZ-235	MK-8776	A2058	8.785	8	3	5	0
BEZ-235	OXALIPLATIN	A2058	9.085	2	3	7	0
BEZ-235	SORAFENIB	A2058	10.5875	3	3	1	0
BORTEZOMIB	ABT-888	A2058	5.7775	5	4	1	0
BORTEZOMIB	BEZ-235	A2058	4.6075	3	4	3	0
BORTEZOMIB	DASATINIB	A2058	3.93	7	4	7	0
BORTEZOMIB	MK-8776	A2058	4.7575	9	4	5	0
BORTEZOMIB	SN-38	A2058	13.5225	9	4	0	0
BORTEZOMIB	SORAFENIB	A2058	13.985	9	4	1	0
CARBOPLATIN	AZD1775	A2058	14.3125	3	5	2	0
CARBOPLATIN	BORTEZOMIB	A2058	3.71	0	5	4	0
CARBOPLATIN	DASATINIB	A2058	5.3225	0	5	7	0
CARBOPLATIN	DINACICLIB	A2058	7.25	3	5	9	0
CARBOPLATIN	ERLOTINIB	A2058	7.1125	6	5	1	0
CARBOPLATIN	GELDANAMYCIN	A2058	7.6375	5	5	3	0
CARBOPLATIN	L778123	A2058	6.010000000000001	0	5	5	0
CARBOPLATIN	LAPATINIB	A2058	7.8225	7	5	6	0
CARBOPLATIN	MK-2206	A2058	5.555	4	5	0	0
CARBOPLATIN	MK-8669	A2058	5.4325	9	5	4	0
CARBOPLATIN	MK-8776	A2058	9.0375	1	5	5	0
CARBOPLATIN	SUNITINIB	A2058	9.405	7	5	2	0
CARBOPLATIN	ZOLINZA	A2058	10.595	1	5	7	0
CYCLOPHOSPHAMIDE	ABT-888	A2058	18.4625	3	6	1	0
CYCLOPHOSPHAMIDE	AZD1775	A2058	7.4525	3	6	2	0
CYCLOPHOSPHAMIDE	BEZ-235	A2058	8.185	5	6	3	0
CYCLOPHOSPHAMIDE	BORTEZOMIB	A2058	5.845	2	6	4	0
CYCLOPHOSPHAMIDE	DASATINIB	A2058	4.637499999999999	3	6	7	0
CYCLOPHOSPHAMIDE	DINACICLIB	A2058	9.235	6	6	9	0
CYCLOPHOSPHAMIDE	ERLOTINIB	A2058	4.1325	9	6	1	0
CYCLOPHOSPHAMIDE	GELDANAMYCIN	A2058	7.865	9	6	3	0
